Card ID,Card Name,1st Edition?,Card Set,Rarity,Quantity,Est. Max Price Per Card
SDY-004,,N,Starter Deck: Yugi,Common,1,
SDY-005,Beaver Warrior,N,Starter Deck: Yugi,Common,2,
SDY-006,Dark Magician,N,Starter Deck: Yugi,Ultra Rare,2,
SDY-008,Curse of Dragon,N,Starter Deck: Yugi,Common,3,
SDY-009,Celtic Guardian,N,Starter Deck: Yugi,Common,4,
SDY-010,Mammoth Graveyard,N,Starter Deck: Yugi,Common,2,
SDY-011,Great White,N,Starter Deck: Yugi,Common,2,
SDY-012,Silver Fang,N,Starter Deck: Yugi,Common,2,
SDY-013,Giant Soldier of Stone,N,Starter Deck: Yugi,Common,1,
SDY-014,Dragon Zombie,N,Starter Deck: Yugi,Common,2,
SDY-015,Doma The Angel of Silence,N,Starter Deck: Yugi,Common,2,
SDY-016,Ansatsu,N,Starter Deck: Yugi,Common,2,
SDY-017,Witty Phantom,N,Starter Deck: Yugi,Common,2,
SDY-018,Claw Reacher,N,Starter Deck: Yugi,Common,2,
SDY-019,Mystic Clown,N,Starter Deck: Yugi,Common,4,
SDY-020,Sword of Dark Destruction,N,Starter Deck: Yugi,Common,2,
SDY-021,Book of Secret Arts,N,Starter Deck: Yugi,Common,2,
SDY-022,Dark Hole,N,Starter Deck: Yugi,Common,3,
SDY-023,Dian Keto the Cure Master,N,Starter Deck: Yugi,Common,3,
SDY-024,Ancient Elf,N,Starter Deck: Yugi,Common,4,
SDY-025,Magical Ghost,N,Starter Deck: Yugi,Common,2,
SDY-026,Fissure,N,Starter Deck: Yugi,Common,3,
SDY-027,Trap Hole,N,Starter Deck: Yugi,Common,3,
SDY-028,Two-Pronged Attack,N,Starter Deck: Yugi,Common,2,
SDY-029,De-Spell,N,Starter Deck: Yugi,Common,2,
SDY-030,Monster Reborn,N,Starter Deck: Yugi,Common,2,
SDY-031,Reinforcements,N,Starter Deck: Yugi,Common,1,
SDY-032,Change of Heart,N,Starter Deck: Yugi,Common,1,
SDY-033,The Stern Mystic,N,Starter Deck: Yugi,Common,2,
SDY-034,Wall of Illusion,N,Starter Deck: Yugi,Common,3,
SDY-035,Neo the Magic Swordsman,N,Starter Deck: Yugi,Common,3,
SDY-036,Baron of the Fiend Sword,N,Starter Deck: Yugi,Common,3,
SDY-037,Man-Eating Treasure Chest,N,Starter Deck: Yugi,Common,3,
SDY-038,Sorcerer of the Doomed,N,Starter Deck: Yugi,Common,3,
SDY-039,Last Will,N,Starter Deck: Yugi,Common,2,
SDY-040,Waboku,N,Starter Deck: Yugi,Common,2,
SDY-041,Soul Exchange,N,Starter Deck: Yugi,Super Rare,1,
SDY-042,Card Destruction,N,Starter Deck: Yugi,Super Rare,2,
SDY-043,Trap Master,N,Starter Deck: Yugi,Common,1,
SDY-044,Dragon Capture Jar,N,Starter Deck: Yugi,Common,2,
SDY-045,Yami,N,Starter Deck: Yugi,Common,2,
SDY-046,Man-Eater Bug,N,Starter Deck: Yugi,Common,3,
SDY-047,Reverse Trap,N,Starter Deck: Yugi,Common,2,
SDY-048,Remove Trap,N,Starter Deck: Yugi,Common,2,
SDY-049,Castle Walls,N,Starter Deck: Yugi,Common,2,
SDY-050,Ultimate Offering,N,Starter Deck: Yugi,Common,3,
SKE-004,Rogue Doll,N,Starter Deck: Kaiba Evolution,Common,1,
SKE-005,Kojikocy,N,Starter Deck: Kaiba Evolution,Common,1,
SKE-008,Ryu-Kishin Powered,N,Starter Deck: Kaiba Evolution,Common,1,
SKE-010,Skull Red Bird,N,Starter Deck: Kaiba Evolution,Common,1,
SKE-015,Kaiser Sea Horse,N,Starter Deck: Kaiba Evolution,Ultra Rare,1,
SKE-017,Mysterious Puppeteer,N,Starter Deck: Kaiba Evolution,Common,1,
SKE-018,Trap Master,N,Starter Deck: Kaiba Evolution,Common,1,
SKE-019,Hane-Hane,N,Starter Deck: Kaiba Evolution,Common,1,
SKE-021,Mystic Tomato,N,Starter Deck: Kaiba Evolution,Common,1,
SKE-022,Mad Sword Beast,N,Starter Deck: Kaiba Evolution,Common,1,
SKE-024,Paladin of White Dragon,N,Starter Deck: Kaiba Evolution,Common,1,
SKE-029,Monster Reborn,N,Starter Deck: Kaiba Evolution,Common,1,
SKE-031,The Flute of Summoning Dragon,N,Starter Deck: Kaiba Evolution,Common,1,
SKE-034,Mountain,N,Starter Deck: Kaiba Evolution,Common,1,
SKE-035,Tribute to The Doomed,N,Starter Deck: Kaiba Evolution,Common,1,
SKE-036,Rush Recklessly,N,Starter Deck: Kaiba Evolution,Common,1,
SKE-037,Megamorph,N,Starter Deck: Kaiba Evolution,Common,1,
SKE-038,Nobleman of Crossout,N,Starter Deck: Kaiba Evolution,Common,1,
SKE-046,Light of Intervention,N,Starter Deck: Kaiba Evolution,Common,1,
SKE-047,Jar of Greed,N,Starter Deck: Kaiba Evolution,Common,1,
SOI-EN004,Elemental Hero Neo Bubbleman,N,Shadow of Infinity (English),Common,1,
SOI-EN008,Ancient Gear,N,Shadow of Infinity (English),Common,1,
SOI-EN009,Ancient Gear Cannon,N,Shadow of Infinity (English),Common,1,
SOI-EN010,Proto-Cyber Dragon,N,Shadow of Infinity (English),Rare,1,
SOI-EN014,D.D. Guide,N,Shadow of Infinity (English),Common,1,
SOI-EN017,Tenkabito Shien,N,Shadow of Infinity (English),Common,2,
SOI-EN019,Gokipon,N,Shadow of Infinity (English),Common,2,
SOI-EN023,Saber Beetle,N,Shadow of Infinity (English),Common,1,
SOI-EN026,Beelze Frog,N,Shadow of Infinity (English),Common,1,
SOI-EN029,Memory Crusher,N,Shadow of Infinity (English),Rare,1,
SOI-EN031,Grass Phantom,N,Shadow of Infinity (English),Common,2,
SOI-EN037,Hero Heart,N,Shadow of Infinity (English),Common,1,
SOI-EN039,Ancient Gear Factory,N,Shadow of Infinity (English),Common,1,
SOI-EN040,Ancient Gear Drill,N,Shadow of Infinity (English),Common,1,
SOI-EN043,Symbol of Heritage,N,Shadow of Infinity (English),Common,1,
SOI-EN046,End of the World,N,Shadow of Infinity (English),Common,1,
SOI-EN048,Samsara,N,Shadow of Infinity (English),Common,1,
SOI-EN051,Attack Reflector Unit,N,Shadow of Infinity (English),Common,1,
SOI-EN054,Next to be Lost,N,Shadow of Infinity (English),Common,2,
SOI-EN056,Full Salvo,N,Shadow of Infinity (English),Common,1,
SOI-EN057,Success Probability 0%,N,Shadow of Infinity (English),Common,1,
SOI-EN060,Malfunction,N,Shadow of Infinity (English),Rare,1,
SY2-001,Dark Paladin,N,Structure Deck: Yugi Volume 2,Ultra Rare,2,
SY2-002,Dark Magician,N,Structure Deck: Yugi Volume 2,Common,2,
SY2-003,Feral Imp,N,Structure Deck: Yugi Volume 2,Common,3,
SY2-004,Giant Soldier of Stone,N,Structure Deck: Yugi Volume 2,Common,3,
SY2-005,Gazelle the King of Mythical Beasts,N,Structure Deck: Yugi Volume 2,Common,3,
SY2-006,Mystical Elf,N,Structure Deck: Yugi Volume 2,Common,2,
SY2-007,Beaver Warrior,N,Structure Deck: Yugi Volume 2,Common,3,
SY2-008,"Winged Dragon, Guardian of the Fortress #1",N,Structure Deck: Yugi Volume 2,Common,3,
SY2-009,Dark Blade,N,Structure Deck: Yugi Volume 2,Common,3,
SY2-010,Buster Blader,N,Structure Deck: Yugi Volume 2,Common,2,
SY2-011,Dark Magician Girl,N,Structure Deck: Yugi Volume 2,Common,2,
SY2-012,Kuriboh,N,Structure Deck: Yugi Volume 2,Common,3,
SY2-013,Big Shield Gardna,N,Structure Deck: Yugi Volume 2,Common,3,
SY2-014,Obnoxious Celtic Guard,N,Structure Deck: Yugi Volume 2,Common,3,
SY2-015,Skilled Dark Magician,N,Structure Deck: Yugi Volume 2,Common,3,
SY2-016,Sangan,N,Structure Deck: Yugi Volume 2,Common,3,
SY2-017,Magician of Faith,N,Structure Deck: Yugi Volume 2,Common,3,
SY2-018,Old Vindictive Magician,N,Structure Deck: Yugi Volume 2,Common,3,
SY2-019,Zombyra the Dark,N,Structure Deck: Yugi Volume 2,Common,3,
SY2-020,Giant Rat,N,Structure Deck: Yugi Volume 2,Common,3,
SY2-021,Royal Magical Library,N,Structure Deck: Yugi Volume 2,Common,3,
SY2-022,Magical Dimension,N,Structure Deck: Yugi Volume 2,Ultra Rare,3,
SY2-023,Polymerization,N,Structure Deck: Yugi Volume 2,Common,3,
SY2-024,Fusion Sage,N,Structure Deck: Yugi Volume 2,Common,3,
SY2-025,Monster Reborn,N,Structure Deck: Yugi Volume 2,Common,3,
SY2-026,Pot of Greed,N,Structure Deck: Yugi Volume 2,Common,3,
SY2-027,Mystic Box,N,Structure Deck: Yugi Volume 2,Common,3,
SY2-028,Monster Recovery,N,Structure Deck: Yugi Volume 2,Common,3,
SY2-029,United We Stand,N,Structure Deck: Yugi Volume 2,Common,3,
SY2-030,Mystical Space Typhoon,N,Structure Deck: Yugi Volume 2,Common,3,
SY2-031,Spellbook Organization,N,Structure Deck: Yugi Volume 2,Common,3,
SY2-032,Fissure,N,Structure Deck: Yugi Volume 2,Common,3,
SY2-033,Emblem of Dragon Destroyer,N,Structure Deck: Yugi Volume 2,Common,3,
SY2-034,Remove Trap,N,Structure Deck: Yugi Volume 2,Common,3,
SY2-035,Magic Cylinder,N,Structure Deck: Yugi Volume 2,Common,3,
SY2-036,Spellbinding Circle,N,Structure Deck: Yugi Volume 2,Common,3,
SY2-037,Mirror Force,N,Structure Deck: Yugi Volume 2,Common,2,
SY2-038,Lightforce Sword,N,Structure Deck: Yugi Volume 2,Common,3,
SY2-039,Magic Jammer,N,Structure Deck: Yugi Volume 2,Common,3,
SY2-040,Raigeki Break,N,Structure Deck: Yugi Volume 2,Common,2,
SY2-041,Dust Tornado,N,Structure Deck: Yugi Volume 2,Common,3,
SY2-042,People Running About,N,Structure Deck: Yugi Volume 2,Common,3,
SY2-043,Oppressed People,N,Structure Deck: Yugi Volume 2,Common,3,
SY2-044,United Resistance,N,Structure Deck: Yugi Volume 2,Common,3,
SY2-045,Thousand Knives,N,Structure Deck: Yugi Volume 2,Common,3,
SY2-046,Dark Magic Curtain,N,Structure Deck: Yugi Volume 2,Common,3,
SY2-047,Restructer Revolution,N,Structure Deck: Yugi Volume 2,Common,3,
SY2-048,De-Fusion,N,Structure Deck: Yugi Volume 2,Common,3,
SY2-049,Fusion Gate,N,Structure Deck: Yugi Volume 2,Common,3,
SY2-050,Tribute to the Doomed,N,Structure Deck: Yugi Volume 2,Common,3,
SY2-051,The Eye of Truth,N,Structure Deck: Yugi Volume 2,Common,3,
SY2-052,Trap Hole,N,Structure Deck: Yugi Volume 2,Common,3,
SY2-053,Royal Decree,N,Structure Deck: Yugi Volume 2,Common,3,
SY2-054,Chain Destruction,N,Structure Deck: Yugi Volume 2,Common,2,
SY2-055,Shift,N,Structure Deck: Yugi Volume 2,Common,2,
SY2-056,Huge Revolution,N,Structure Deck: Yugi Volume 2,Common,2,
SYE-014,Warrior Dai Grepher,N,Starter Deck: Yugi Evolution,Common,1,
SYE-021,Sonic Bird,N,Starter Deck: Yugi Evolution,Common,1,
SYE-029,Monster Reborn,N,Starter Deck: Yugi Evolution,Common,1,
SYE-038,Mystic Plasma Zone,N,Starter Deck: Yugi Evolution,Common,1,
SYE-046,The Eye of Truth,N,Starter Deck: Yugi Evolution,Common,1,
TLM-EN004,Elemental Hero Sparkman,N,The Lost Millenium (English),Common,1,
TP3-006,Axe Raider,N,Tournament Pack 3,Rare,1,
TP3-007,Kwagar Hercules,N,Tournament Pack 3,Rare,2,
TP3-010,Dragon Capture Jar,N,Tournament Pack 3,Common,1,
TP3-011,Goblin's Secret Remedy,N,Tournament Pack 3,Common,2,
TP3-012,Final Flame,N,Tournament Pack 3,Common,4,
TP3-013,Spirit of the Harp,N,Tournament Pack 3,Common,2,
TP3-014,Pot of Greed,N,Tournament Pack 3,Common,3,
TP3-015,Karbonala Warrior,N,Tournament Pack 3,Common,3,
TP3-016,Darkfire Dragon,N,Tournament Pack 3,Common,4,
TP3-017,Elegant Egotist,N,Tournament Pack 3,Common,3,
TP3-018,Dark Elf,N,Tournament Pack 3,Common,1,
TP3-019,Little Chimera,N,Tournament Pack 3,Common,2,
