Card ID,Card Name,1st Edition?,Card Set,Rarity,Quantity,Est. Max Price Per Card
CT1-EN001,Total Defense Shogun,LIMITED EDITION,Collector Tin 1,Secret Rare,1,150.00,
CT1-EN004,Swift Gaia the Fierce Knight,LIMITED EDITION,Collector Tin 1,Secret Rare,1,75.00,
CT1-EN005,Insect Queen,LIMITED EDITION,Collector Tin 1,Secret Rare,1,299.99,
DPK-ENSE1,Blockman,LIMITED EDITION,Deulist Pack: Special Edition (English),Secret Rare,2,19.20,
DPK-ENSE2,Treasure Map,LIMITED EDITION,Deulist Pack: Special Edition (English),Secret Rare,1,29.92,
DPK-ENSE3,Hero Spirit,LIMITED EDITION,Deulist Pack: Special Edition (English),Secret Rare,2,76.00,
EEN-ENSE1,Horus the Black Flame Dragon LV8,LIMITED EDITION,Elemental Energy: Special Edition (English),Secret Rare,1,46.05,
EEN-ENSE2,The Creator,LIMITED EDITION,Elemental Energy: Special Edition (English),Secret Rare,1,65.00,
EEN-ENSE3,Sacred Phoenix of Nephthys,LIMITED EDITION,Elemental Energy: Special Edition (English),Secret Rare,1,53.00,
EEN-ENSE4,Silent Swordsman LV5,LIMITED EDITION,Elemental Energy: Special Edition (English),Secret Rare,1,65.00,
FL1-EN003,Kuriboh,LIMITED EDITION,Forbidden Legacy (English),Secret Rare,1,125.00,
IOC-SE4,Lava Golem,LIMITED EDITION,Invasion of Chaos: Special Edition,Ultra Rare,1,75.00,
JMP-EN005,Blue-Eyes Ultimate Dragon,LIMITED EDITION,Shonen Jump (English),Ultra Rare,1,650.00,
MC1-EN003,Relinuished,LIMITED EDITION,Master Collection Volume 1,Secret Rare,1,82.93,
MC1-EN004,Thousand-Eyes Restrict,LIMITED EDITION,Master Collection Volume 1,Secret Rare,1,60.00,
MC1-EN006,Dark Ruler Ha Des,LIMITED EDITION,Master Collection Volume 1,Secret Rare,2,18.99,
MOV-EN002,Sorcerer of Dark Magic,LIMITED EDITION,Movie Pack (English),Common,1,32.37,
MOV-EN003,Watapon,LIMITED EDITION,Movie Pack (English),Common,1,25.58,
MOV-EN004,Pyramid of Light,LIMITED EDITION,Movie Pack (English),Common,1,25.58,
RDS-ENSE1,Diffusion Wave-Motion,LIMITED EDITION,Rise of Destiny: Special Edition,Ultra Rare,1,100.00,
RDS-ENSE2,Dark Magician Girl,LIMITED EDITION,Rise of Destiny: Special Edition,Ultra Rare,2,355.00,
